country,MealInexpensive,Meal2People,McMeal,BeerDomesticRestaurant,BeerImportedRestaurant,Cappucino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Banana,Oranges,Tomato,Potato,Onion,Lettuce,Water,Wine,BeerDomesticMarket,BeerImportedMarket,Cigarettes,LocalTransport1Way,MonthlyPass,TaxiStart,Taxi1km,Taxi1hrWaiting,Gasoline,CarVolkswagenGolf,CarToyotaCorolla,Utility,PrepaidMobile,InternetAndMobile,FitnessClub,TennisCourtRent,Cinema,Preschool,PrimarySchool,Jeans,SummerDress,NikeRunningShoes,LeatherBusinessShoes,Apt1BedroomCityCtr,Apt1BedroomNoCityCtr,Apt3BedroomCityCtr,Apt3BedroomNoCityCtr,PricePerSqMtCityCtr,PricePerSqMtNoCityCtr,AvgMonthlyNetSalary,MortgageInterest,data_quality
Burundi,1.94,21.04,3.27,0.58,2.46,2.18,0.44,0.68,0.8,0.68,1.28,2.67,8.06,7.18,6.61,5.48,0.68,1.29,1.13,0.6,1.14,0.81,0.81,19.35,1.13,2.58,2.42,0.24,14.51,0.97,0.97,2,1.16,9992.24,14988.35,17.87,0.11,22.24,14.67,3,,49.96,899.3,17.09,3,34.18,87.08,272.41,92.42,695.37,260.83,24187.89,7256.37,308.49,13,0
Cambodia,3.27,23.8,5.96875,0.925,2.39125,2.262,0.95,0.525,2.082,1.645,1.068,1.808,15.82428571,5.176,9.952,3.201111111,1.333333333,3.115714286,1.487,1.194,1.041,1.453333333,0.756666667,10.1,0.954444444,1.696666667,1.461111111,1.416666667,42.81,0.90625,0.721428571,5.285714286,1.168,45400,42850,75.78,0.03,35.209,65.48166667,10.75,5.5625,184.82,4790.625,23,18.53333333,61.15375,37.55375,399.0385714,229.2528571,871.6757143,557.1757143,1879.833333,911.166,275.31,11.41666667,0.1
Cameroon,2.601428571,20.35714286,2.432857143,1.041428571,1.48,1,0.718571429,0.384285714,2.028571429,0.55,0.94,1.707142857,16.85,4.198571429,4.471666667,2.79,1.071666667,1.046666667,1.02,1.27,1.013333333,0.501666667,0.596666667,4.75,1.003333333,1.475,1.61,1.578,7.92,0.4,0.4,3.301666667,0.997142857,19265.72,5480.613333,73.74,0.128333333,40.32285714,24.21,9.054,6.336666667,161.645,1078.278333,22.96833333,28.16833333,43.99166667,69.49833333,108.6,70.20166667,328.785,190.2383333,967.6866667,260.2175,224.765,6.795,0.285714286
Canada,15.59962264,62.48522936,8.746637931,4.794298246,5.724336283,3.305087719,1.761052632,1.485130435,1.982773109,2.26697479,3.50042735,2.994285714,11.20807339,10.56417391,13.71740385,3.47,1.509913793,3.534210526,3.633596491,2.412280702,2.389017857,2.120683761,1.794122807,12.36878261,2.4031,3.048514851,11.78964602,2.299716981,66.03711111,3.145535714,1.640186916,26.372,1.470701754,20491.65524,19214.47774,137.8802609,0.27254902,63.84068376,43.255,17.10258065,10.0675,778.7495146,13643.95581,50.61345133,36.35037383,79.96035714,101.233945,1100.946509,1001.993269,1866.465283,1680.677647,5172.409016,3995.170169,2970.08175,5.254,0.391666667
Chad,3.17,31.67,12.67,1.27,1.58,1.72,0.87,0.63,1.7,,3.56,1.81,,,7.92,5.15,1.5,3.96,1.32,1.43,0.95,0.63,1.06,13.46,1.58,,1.9,,,,,,0.82,9184.21,17418.32,237.52,0.2,73.9,126.68,102.93,4.75,29.29,1583.48,31.67,87.09,43.55,126.68,1103.64,129.32,,232.24,158.35,63.34,277.11,,0
Chile,6.4244,36.30916667,5.2648,2.6425,3.15375,2.398,1.282,1.02,0.9684,1.076,1.2,2.3748,7.8192,4.474,8.4952,1.4524,1.1612,1.352608696,1.443478261,0.954347826,1.12173913,0.8484,1.0292,4.414347826,1.0948,1.7848,4.6128,0.616315789,37.70428571,0.555454545,1.3428,9.934166667,1.1284,13798.83409,15296.4019,99.75954545,0.087916667,24.3584,36.89777778,17.19928571,5.197916667,261.0808696,4449.785909,38.4656,25.07826087,48.448,58.10956522,378.9827778,326.4683333,646.0905556,540.6666667,1627.939167,1375.35,622.724,4.501363636,0.111111111
China,3.318901099,20.68322581,4.899411765,1.122790698,2.464022989,3.244950495,0.456666667,0.289292929,1.8168,1.538541667,0.900606061,1.647159091,12.47098765,3.677708333,11.28835052,1.6641,1.259156627,1.519387755,1.123854167,0.754646465,0.828631579,0.610412371,0.6242,11.48741176,0.756435644,1.864536082,3.014468085,0.317413793,20.12403846,1.370465116,0.313333333,5.055421687,1.166829268,19981.94562,18728.22506,51.2671875,0.024222222,11.7444898,38.80229508,12.86320755,5.837623762,443.0145783,15083.23373,53.03052083,31.93274725,79.700625,79.69898876,350.4482456,227.7784483,783.1405,444.0773684,5509.874667,2892.247455,818.4354688,4.986179775,0.161904762
Colombia,2.418461538,14.4924,4.5984,0.9068,1.498333333,1.081666667,0.5408,0.427916667,0.782608696,0.678846154,0.597692308,1.4275,2.508846154,2.8336,3.695769231,1.5684,0.587083333,0.7212,0.764,0.553076923,0.606538462,0.490769231,0.506153846,5.718846154,0.638461538,1.020384615,1.512608696,0.503333333,22.04947368,1.078461538,1.1192,3.921153846,0.504615385,12002.7375,14994.1516,48.86653846,0.04,22.04192308,16.0424,9.313888889,2.836,92.83083333,2435.500952,35.76807692,22.48192308,49.5744,39.09833333,171.03,152.7915789,299.3104348,271.2655556,1556.236111,1334.543889,270.8495652,11.65916667,0.307692308
Comoros,,,,,,,,,,0.21,0.42,2.39,,2.29,5.19,6.23,0.46,0.52,1.04,1.04,2.08,1.56,0.62,7.79,,3.12,1.56,,,,,,,,,,,,31.91,,,,,,,,,,,,,,,,,0
Cook Islands,9.32,49.71,9.32,3.57,4.19,3.73,2.33,1.55,1.86,3.67,1.86,5.28,12.43,8.7,11.18,3.11,1.86,3.73,9.94,3.11,2.49,2.49,3.11,15.53,,4.66,,,,,,,,,,124.26,0.62,,,,,,,69.59,,,76.42,161.54,161.54,236.1,236.1,5350.27,528.12,,,0
